party,name,state,district,twitter_username,twitter_id,tweet_count,eligible,included_in_balanced_corpus,exclusion_reason,user_code,source_url
Democratic,Janelle Bynum,OR,05,RepBynum,,50,True,true,,dem075,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Ken Calvert,CA,41,KenCalvert,,50,True,true,,rep108,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Kat Cammack,FL,03,RepKatCammack,,50,True,true,,rep106,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Salud Carbajal,CA,24,RepCarbajal,,50,True,true,,dem166,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mike Carey,OH,15,RepMikeCarey,,50,True,true,,rep135,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,André Carson,IN,07,RepAndreCarson,,50,True,true,,dem010,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Buddy Carter,GA,01,RepBuddyCarter,,50,True,true,,rep033,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,John Carter,TX,31,JudgeCarter,,50,True,true,,rep095,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Troy Carter,LA,02,RepTroyCarter,,50,True,true,,dem196,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Greg Casar,TX,35,RepCasar,,50,True,true,,dem058,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Ed Case,HI,01,RepEdCase,,50,True,true,,dem043,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Sean Casten,IL,06,RepCasten,,50,True,true,,dem173,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Kathy Castor,FL,14,USRepKCastor,,50,True,true,,dem106,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Joaquin Castro,TX,20,JoaquinCastrotx,,50,True,true,,dem088,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Sheila Cherfilus-McCormick,FL,20,CongresswomanSC,,50,True,true,,dem177,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Judy Chu,CA,28,RepJudyChu,,50,True,true,,dem102,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
