party,name,state,district,twitter_username,twitter_id,source_url,included_in_balanced_corpus,exclusion_reason
Republican,John Carter,TX,31,JudgeCarter,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Troy Carter,LA,02,RepTroyCarter,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Greg Casar,TX,35,RepCasar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ed Case,HI,01,RepEdCase,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sean Casten,IL,06,RepCasten,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Kathy Castor,FL,14,USRepKCastor,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Joaquin Castro,TX,20,JoaquinCastrotx,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sheila Cherfilus-McCormick,FL,20,CongresswomanSC,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Judy Chu,CA,28,RepJudyChu,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Juan Ciscomani,AZ,06,RepCiscomani,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Gil Cisneros,CA,31,RepGilCisneros,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Katherine Clark,MA,05,WhipKClark,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Yvette Clarke,NY,09,RepYvetteClarke,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Emanuel Cleaver,MO,05,repcleaver,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ben Cline,VA,06,RepBenCline,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Cloud,TX,27,RepMichaelCloud,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,James Clyburn,SC,06,WhipClyburn,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Andrew Clyde,GA,09,Rep_Clyde,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Steve Cohen,TN,09,RepCohen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tom Cole,OK,04,TomColeOK04,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Collins,GA,10,RepMikeCollins,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,James Comer,KY,01,RepJamesComer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Herb Conaway,NJ,03,RepHerbConaway,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lou Correa,CA,46,RepLouCorrea,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jim Costa,CA,21,RepJimCosta,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Joe Courtney,CT,02,RepJoeCourtney,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Angie Craig,MN,02,RepAngieCraig,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Elijah Crane,AZ,02,RepEliCrane,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jeff Crank,CO,05,RepJeffCrank,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ric Crawford,AR,01,RepRickCrawford,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Dan Crenshaw,TX,02,RepDanCrenshaw,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jasmine Crockett,TX,30,RepJasmine,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jason Crow,CO,06,RepJasonCrow,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Henry Cuellar,TX,28,RepCuellar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sharice Davids,KS,03,RepDavids,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Warren Davidson,OH,08,WarrenDavidson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Danny Davis,IL,07,RepDannyDavis,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Don Davis,NC,01,RepDonDavis,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Monica De La Cruz,TX,15,RepMonicaDLC,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Madeleine Dean,PA,04,RepDean,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Diana DeGette,CO,01,RepDianaDeGette,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Rosa DeLauro,CT,03,rosadelauro,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Suzan DelBene,WA,01,RepDelBene,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Christopher Deluzio,PA,17,RepDeluzio,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mark DeSaulnier,CA,10,RepDeSaulnier,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Scott DesJarlais,TN,04,DesJarlaisTN04,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Maxine Dexter,OR,03,RepDexterOR,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mario Diaz-Balart,FL,26,MarioDB,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Debbie Dingell,MI,06,RepDebDingell,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lloyd Doggett,TX,37,RepLloydDoggett,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Byron Donalds,FL,19,RepDonaldsPress,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Troy Downing,MT,02,RepTroyDowning,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
