party,name,state,district,twitter_username,twitter_id,source_url,included_in_balanced_corpus,exclusion_reason
Democratic,John Larson,CT,01,RepJohnLarson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,George Latimer,NY,16,RepGLatimer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Robert Latta,OH,05,boblatta,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Lawler,NY,17,RepMikeLawler,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Laurel Lee,FL,15,RepLaurelLee,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Summer Lee,PA,12,RepSummerLee,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Susie Lee,NV,03,RepSusieLee,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Teresa Leger Fernandez,NM,03,RepTeresaLF,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Julia Letlow,LA,05,repjulialetlow,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mike Levin,CA,49,RepMikeLevin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sam T. Liccardo,CA,16,RepLiccardo,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ted Lieu,CA,36,RepTedLieu,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Zoe Lofgren,CA,18,RepZoeLofgren,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Barry Loudermilk,GA,11,RepLoudermilk,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Frank Lucas,OK,03,RepFrankLucas,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Anna Paulina Luna,FL,13,RepLuna,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Morgan Luttrell,TX,08,RepLuttrell,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Stephen Lynch,MA,08,RepStephenLynch,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Nancy Mace,SC,01,RepNancyMace,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ryan Mackenzie,PA,07,RepMackenzie,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Seth Magaziner,RI,02,Rep_Magaziner,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Nicole Malliotakis,NY,11,RepMalliotakis,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Celeste Maloy,UT,02,RepMaloyUtah,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tracey Mann,KS,01,RepMann,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,John Mannion,NY,22,JohnMannionNY22,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Thomas Massie,KY,04,RepThomasMassie,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brian Mast,FL,21,RepBrianMast,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Doris Matsui,CA,07,DorisMatsui,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lucy McBath,GA,07,RepLucyMcBath,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sarah McBride,DE,00,Rep_McBride,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael McCaul,TX,10,RepMcCaul,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Lisa McClain,MI,09,RepLisaMcClain,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,April McClain Delaney,MD,06,RepAprilDelaney,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jennifer McClellan,VA,04,RepMcClellan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tom McClintock,CA,05,RepMcClintock,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Betty McCollum,MN,04,BettyMcCollum04,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Richard McCormick,GA,06,RepMcCormick,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Kristen McDonald Rivet,MI,08,repkmr,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Addison McDowell,NC,06,RepMcDowell,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Morgan McGarvey,KY,03,RepMcGarvey,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,James McGovern,MA,02,RepMcGovern,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,John McGuire,VA,05,RepJohnMcGuire,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,LaMonica McIver,NJ,10,RepLaMonica,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Gregory Meeks,NY,05,RepGregoryMeeks,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Analilia Mejia,NJ,11,RepAnalilia,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Christian Menefee,TX,18,RepCDMenefee,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Robert Menendez,NJ,08,RepMenendez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Grace Meng,NY,06,RepGraceMeng,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mark Messmer,IN,08,RepMessmer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Daniel Meuser,PA,09,RepMeuser,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Kweisi Mfume,MD,07,RepKweisiMfume,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Carol Miller,WV,01,RepCarolMiller,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mary Miller,IL,15,RepMaryMiller,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Max Miller,OH,07,RepMaxMiller,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mariannette Miller-Meeks,IA,01,RepMMM,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Cory Mills,FL,07,RepMillsPress,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Dave Min,CA,47,CongressMin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,John Moolenaar,MI,02,RepMoolenaar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Barry Moore,AL,01,RepBarryMoore,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Blake Moore,UT,01,RepBlakeMoore,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Gwen Moore,WI,04,RepGwenMoore,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Riley Moore,WV,02,RepRileyMoore,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tim Moore,NC,14,RepTimMooreNC,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Nathaniel Moran,TX,01,RepNateMoran,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Joseph Morelle,NY,25,RepJoeMorelle,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Kelly Morrison,MN,03,KellyMorrisonMN,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jared Moskowitz,FL,23,RepMoskowitz,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Seth Moulton,MA,06,RepMoulton,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Frank Mrvan,IN,01,RepMrvan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Kevin Mullin,CA,15,RepKevinMullin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Gregory Murphy,NC,03,RepGregMurphy,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jerrold Nadler,NY,12,RepJerryNadler,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Richard Neal,MA,01,RepRichardNeal,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Joe Neguse,CO,02,RepJoeNeguse,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Troy Nehls,TX,22,RepTroyNehls,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Dan Newhouse,WA,04,RepNewhouse,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Donald Norcross,NJ,01,DonaldNorcross,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ralph Norman,SC,05,RepRalphNorman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Zachary Nunn,IA,03,ZachNunn,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jay Obernolte,CA,23,JayObernolte,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Alexandria Ocasio-Cortez,NY,14,RepAOC,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Andrew Ogles,TN,05,RepOgles,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Johnny Olszewski,MD,02,RepJohnnyO,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ilhan Omar,MN,05,Ilhan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Bob Onder,MO,03,RepBobOnder,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Burgess Owens,UT,04,RepBurgessOwens,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Frank Pallone,NJ,06,FrankPallone,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Gary Palmer,AL,06,USRepGaryPalmer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jimmy Panetta,CA,19,RepJimmyPanetta,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Chris Pappas,NH,01,RepChrisPappas,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jimmy Patronis,FL,01,PatronisFL,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Nancy Pelosi,CA,11,SpeakerPelosi,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Scott Perry,PA,10,RepScottPerry,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Scott Peters,CA,50,RepScottPeters,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Brittany Pettersen,CO,07,RepPettersen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,August Pfluger,TX,11,RepPfluger,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Chellie Pingree,ME,01,chelliepingree,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mark Pocan,WI,02,repmarkpocan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Nellie Pou,NJ,09,RepNellie,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ayanna Pressley,MA,07,RepPressley,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mike Quigley,IL,05,RepMikeQuigley,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Delia Ramirez,IL,03,repdeliaramirez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Emily Randall,WA,06,RepEmilyRandall,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jamie Raskin,MD,08,RepRaskin,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Guy Reschenthaler,PA,14,GReschenthaler,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Josh Riley,NY,19,RepRileyNY,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Luz Rivas,CA,29,RepLuzRivas,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Harold Rogers,KY,05,RepHalRogers,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Rogers,AL,03,RepMikeRogersAL,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,John Rose,TN,06,RepJohnRose,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Deborah Ross,NC,02,RepDeborahRoss,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,David Rouzer,NC,07,RepDavidRouzer,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Chip Roy,TX,21,RepChipRoy,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Raul Ruiz,CA,25,RepRaulRuizMD,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Rulli,OH,06,RepMichaelRulli,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,John Rutherford,FL,05,RepRutherfordFL,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Patrick Ryan,NY,18,RepPatRyanNY,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Maria Salazar,FL,27,RepMariaSalazar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Andrea Salinas,OR,06,RepSalinas,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Linda Sánchez,CA,38,RepLindaSanchez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Steve Scalise,LA,01,SteveScalise,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mary Scanlon,PA,05,RepMGS,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Janice Schakowsky,IL,09,RepSchakowsky,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Derek Schmidt,KS,02,RepDerekSchmidt,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Bradley Schneider,IL,10,RepSchneider,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Hillary Scholten,MI,03,RepScholten,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Kim Schrier,WA,08,RepKimSchrier,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,David Schweikert,AZ,01,RepDavid,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Austin Scott,GA,08,AustinScottGA08,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Robert Scott,VA,03,BobbyScott,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Keith Self,TX,03,RepKeithSelf,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Pete Sessions,TX,17,PeteSessions,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Terri Sewell,AL,07,RepTerriSewell,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Brad Sherman,CA,32,BradSherman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jefferson Shreve,IN,06,RepShreve,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lateefah Simon,CA,12,RepLSimon,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Simpson,ID,02,CongMikeSimpson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Adam Smith,WA,09,RepAdamSmith,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Adrian Smith,NE,03,RepAdrianSmith,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jason Smith,MO,08,RepJasonSmith,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Lloyd Smucker,PA,11,RepSmucker,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Eric Sorensen,IL,17,RepEricSorensen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Darren Soto,FL,09,RepDarrenSoto,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Victoria Spartz,IN,05,RepSpartz,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Melanie Stansbury,NM,01,Rep_Stansbury,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Greg Stanton,AZ,04,RepGregStanton,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Pete Stauber,MN,08,RepPeteStauber,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Elise Stefanik,NY,21,RepStefanik,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Bryan Steil,WI,01,RepBryanSteil,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,W. Steube,FL,17,RepGregSteube,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Haley Stevens,MI,11,RepHaleyStevens,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Marilyn Strickland,WA,10,RepStricklandWA,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Dale Strong,AL,05,RepDaleStrong,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Marlin Stutzman,IN,03,RepStutzman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Suhas Subramanyam,VA,10,RepSuhas,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Tom Suozzi,NY,03,RepTomSuozzi,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Emilia Sykes,OH,13,RepEmiliaSykes,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mark Takano,CA,39,RepMarkTakano,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Dave Taylor,OH,02,RepDaveTaylor,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Claudia Tenney,NY,24,RepTenney,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Shri Thanedar,MI,13,RepShriThanedar,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Bennie Thompson,MS,02,BennieGThompson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Glenn Thompson,PA,15,CongressmanGT,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Mike Thompson,CA,04,RepThompson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Thomas Tiffany,WI,07,RepTiffany,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,William Timmons,SC,04,RepTimmons,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Dina Titus,NV,01,repdinatitus,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Rashida Tlaib,MI,12,RepRashida,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Jill Tokuda,HI,02,RepJillTokuda,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Paul Tonko,NY,20,RepPaulTonko,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Norma Torres,CA,35,NormaJTorres,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ritchie Torres,NY,15,RepRitchie,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lori Trahan,MA,03,RepLoriTrahan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Derek Tran,CA,45,RepDerekTranCA,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Michael Turner,OH,10,RepMikeTurner,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Lauren Underwood,IL,14,RepUnderwood,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,David Valadao,CA,22,RepDavidValadao,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jefferson Van Drew,NJ,02,Congressman_JVD,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Beth Van Duyne,TX,24,RepBethVanDuyne,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Matt Van Epps,TN,07,repvanepps,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Derrick Van Orden,WI,03,RepVanOrden,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Juan Vargas,CA,52,RepJuanVargas,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Gabe Vasquez,NM,02,RepGabeVasquez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Marc Veasey,TX,33,RepVeasey,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Nydia Velázquez,NY,07,NydiaVelazquez,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Eugene Vindman,VA,07,RepVindman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ann Wagner,MO,02,RepAnnWagner,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tim Walberg,MI,05,RepWalberg,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,James Walkinshaw,VA,11,Rep_Walkinshaw,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Debbie Wasserman Schultz,FL,25,RepDWStweets,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Maxine Waters,CA,43,RepMaxineWaters,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Bonnie Watson Coleman,NJ,12,RepBonnie,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Randy Weber,TX,14,TXRandy14,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Daniel Webster,FL,11,RepWebster,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Bruce Westerman,AR,04,RepWesterman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,George Whitesides,CA,27,Rep_Whitesides,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Tony Wied,WI,08,RepTonyWied,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Nikema Williams,GA,05,RepNikema,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Roger Williams,TX,25,RepRWilliams,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Frederica Wilson,FL,24,RepWilson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Joe Wilson,SC,02,RepJoeWilson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Robert Wittman,VA,01,RobWittman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Steve Womack,AR,03,rep_stevewomack,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Rudy Yakym,IN,02,RepRudyYakym,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Ryan Zinke,MT,01,RepRyanZinke,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
